"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","1,577.92","1,602.68","1,606.81","1,577.90","83.95M","-1.43%"
"Apr 29, 2020","1,600.85","1,566.41","1,602.34","1,559.63","132.45M","2.06%"
"Apr 28, 2020","1,568.50","1,542.60","1,571.31","1,538.26","119.08M","1.88%"
"Apr 27, 2020","1,539.51","1,536.83","1,543.42","1,528.14","93.38M","1.68%"
"Apr 24, 2020","1,514.13","1,515.64","1,529.19","1,511.28","103.03M","-1.80%"
"Apr 23, 2020","1,541.89","1,535.94","1,547.48","1,512.68","111.84M","0.93%"
"Apr 22, 2020","1,527.63","1,508.57","1,527.69","1,503.30","110.61M","2.29%"
"Apr 21, 2020","1,493.45","1,525.45","1,525.60","1,493.45","108.47M","-3.10%"
"Apr 20, 2020","1,541.17","1,548.68","1,548.68","1,518.12","83.31M","0.43%"
"Apr 17, 2020","1,534.55","1,525.27","1,536.84","1,520.72","139.93M","3.42%"
"Apr 16, 2020","1,483.79","1,496.47","1,499.91","1,469.14","107.74M","0.22%"
"Apr 15, 2020","1,480.60","1,531.47","1,534.41","1,478.82","121.30M","-3.60%"
"Apr 14, 2020","1,535.84","1,529.85","1,538.91","1,516.51","135.63M","2.47%"
"Apr 09, 2020","1,498.76","1,518.81","1,526.95","1,495.79","63.37M","-0.05%"
"Apr 08, 2020","1,499.51","1,494.39","1,502.88","1,485.02","112.39M","-0.75%"
"Apr 07, 2020","1,510.85","1,493.78","1,514.17","1,483.19","160.21M","3.40%"
"Apr 06, 2020","1,461.23","1,443.36","1,463.06","1,438.88","115.90M","4.03%"
"Apr 03, 2020","1,404.59","1,425.92","1,430.19","1,401.12","97.56M","-1.58%"
"Apr 02, 2020","1,427.19","1,436.85","1,439.40","1,400.27","135.76M","0.08%"
"Apr 01, 2020","1,425.99","1,439.24","1,447.96","1,425.72","117.37M","-3.81%"
"Mar 31, 2020","1,482.43","1,472.26","1,487.06","1,445.35","173.60M","2.29%"
"Mar 30, 2020","1,449.20","1,428.96","1,449.20","1,394.96","128.36M","2.11%"
"Mar 27, 2020","1,419.29","1,454.10","1,454.45","1,405.95","136.40M","-3.51%"
"Mar 26, 2020","1,470.89","1,411.53","1,470.89","1,402.86","155.49M","1.68%"
"Mar 25, 2020","1,446.56","1,426.78","1,446.56","1,362.76","172.19M","4.53%"
"Mar 24, 2020","1,383.88","1,351.47","1,383.88","1,332.41","180.63M","7.09%"
"Mar 23, 2020","1,292.27","1,290.45","1,351.74","1,284.48","179.64M","-4.67%"
"Mar 20, 2020","1,355.54","1,422.86","1,431.56","1,355.54","200.72M","-1.81%"
"Mar 19, 2020","1,380.58","1,345.68","1,380.58","1,328.52","211.61M","3.24%"
"Mar 18, 2020","1,337.24","1,331.49","1,364.56","1,310.96","223.48M","-2.59%"
"Mar 17, 2020","1,372.79","1,366.80","1,384.75","1,295.40","215.42M","3.28%"
"Mar 16, 2020","1,329.16","1,305.90","1,355.88","1,261.17","253.69M","-3.44%"
"Mar 13, 2020","1,376.45","1,379.57","1,469.71","1,343.88","259.54M","1.80%"
"Mar 12, 2020","1,352.13","1,433.49","1,447.69","1,344.08","305.01M","-10.57%"
"Mar 11, 2020","1,511.96","1,548.32","1,561.44","1,506.84","154.95M","-1.42%"
"Mar 10, 2020","1,533.79","1,557.01","1,604.73","1,521.84","174.31M","-0.56%"
"Mar 09, 2020","1,542.44","1,523.24","1,568.67","1,511.18","235.47M","-5.31%"
"Mar 06, 2020","1,629.00","1,648.35","1,657.13","1,616.06","138.08M","-3.22%"
"Mar 05, 2020","1,683.19","1,723.22","1,723.51","1,666.77","118.62M","-1.23%"
"Mar 04, 2020","1,704.20","1,702.13","1,724.26","1,687.33","109.49M","0.57%"
"Mar 03, 2020","1,694.56","1,704.74","1,732.03","1,693.21","130.38M","0.92%"
"Mar 02, 2020","1,679.13","1,702.88","1,711.54","1,644.33","142.41M","0.62%"
"Feb 28, 2020","1,668.84","1,666.93","1,689.67","1,646.11","190.62M","-3.06%"
"Feb 27, 2020","1,721.59","1,779.72","1,779.72","1,691.13","137.09M","-3.40%"
"Feb 26, 2020","1,782.10","1,765.90","1,787.07","1,709.32","126.55M","0.73%"
"Feb 25, 2020","1,769.14","1,799.51","1,812.90","1,766.33","107.41M","-1.62%"
